L,g,E_p0,E_p1,E_p2,E_m0,E_m1,E_m2,Mx
   3, 1.67478104814623E+00,-5.59376067197614E+00, 2.44198575683679E-01, 2.67478104814623E+00,-4.00695905885502E+00,-6.74781048146228E-01,-6.74781048146228E-01, 7.77096385373732E-01
   3, 2.00000000000000E+00,-6.46410161513776E+00, 4.64101615137756E-01, 3.00000000000000E+00,-4.29150262212918E+00,-1.00000000000000E+00,-1.00000000000000E+00, 7.44896592234182E-01
   4, 0.00000000000000E+00,-4.00000000000000E+00,-4.68271496503823E-17,-3.13520216622959E-17,-4.00000000000000E+00,-7.93445998415117E-17,-3.74968540009253E-17, 1.00000000000000E+00
   4, 2.18242468765491E-01,-4.04846976555573E+00,-6.09892580826182E-01,-8.49478959025973E-33,-4.04707574376021E+00,-4.36484937530982E-01,-4.36484937530982E-01, 9.93919151697512E-01
   4, 3.71334009759827E-01,-4.14473242918681E+00,-1.01361542969521E+00,-4.28404738523736E-18,-4.13343755175005E+00,-7.42668019519654E-01,-7.42668019519654E-01,-9.81676961798980E-01
   4, 4.83590544643172E-01,-4.25284942449717E+00,-1.28647923047617E+00,-1.01083114977252E-18,-4.22158485308870E+00,-9.67181089286344E-01,-9.67181089286344E-01, 9.67673420601050E-01
   4, 5.69634542146905E-01,-4.35964313147467E+00,-1.47825841851023E+00,-3.93112013630752E-17,-4.30172414646665E+00,-1.13926908429381E+00,-1.13926908429381E+00,-9.53685563068414E-01
   4, 6.38575614518591E-01,-4.46114326852349E+00,-1.61946342503691E+00,-5.28139045664312E-17,-4.37299710531454E+00,-1.27715122903718E+00,-1.27715122903718E+00,-9.40382028587391E-01
   4, 6.96316574356964E-01,-4.55736857662860E+00,-1.72861216134382E+00,-3.53969976548849E-17,-4.43709398400982E+00,-1.39263314871393E+00,-1.39263314871393E+00,-9.27874494836655E-01
   4, 7.46868589480215E-01,-4.65004899400015E+00,-1.81715365135501E+00,-5.19064196511642E-17,-4.49624733546351E+00,-1.49373717896043E+00,-1.49373717896043E+00,-9.16008804622679E-01
   4, 7.93132405742996E-01,-4.74169838043301E+00,-1.89241662369409E+00,-2.53343313687492E-17,-4.55269192268842E+00,-1.58626481148599E+00,-1.58626481148599E+00,-9.04513340750296E-01
   4, 8.37390524073114E-01,-4.83535325991174E+00,-1.95931750586269E+00,-4.68889407053015E-17,-4.60861870713789E+00,-1.67478104814623E+00,-1.67478104814623E+00,-8.93060494149122E-01
   4, 8.81648642403232E-01,-4.93467348267992E+00,-2.02135273462080E+00,-4.60098821810381E-17,-4.66631155617753E+00,-1.76329728480646E+00,-1.76329728480646E+00, 8.81280108842034E-01
