L,mL,theta
3,1.180012521620042,0.0
3,1.1799914993211993,0.002004008016032064
3,1.1799284445802913,0.004008016032064128
3,1.1798230155769718,0.0060120240480961915
3,1.1796764078947803,0.008016032064128256
3,1.1794875716841646,0.01002004008016032
3,1.1792554852339974,0.012024048096192383
3,1.178984809413359,0.014028056112224447
3,1.1786711740630176,0.01603206412825651
3,1.1783162697159886,0.018036072144288574
3,1.177920301586945,0.02004008016032064
3,1.1774784676598888,0.022044088176352703
3,1.1770001394922793,0.024048096192384766
3,1.1764814279204294,0.026052104208416832
3,1.1759307237119456,0.028056112224448895
3,1.1753333410168507,0.03006012024048096
3,1.1746966193443897,0.03206412825651302
3,1.1740209268631274,0.03406813627254509
3,1.173306654275489,0.03607214428857715
3,1.1725542145919219,0.038076152304609215
3,1.1717640428920437,0.04008016032064128
3,1.170918823499552,0.04208416833667334
3,1.1700529293081874,0.044088176352705406
3,1.16915067680259,0.04609218436873747
3,1.168212588731835,0.04809619238476953
3,1.167239208607451,0.0501002004008016
3,1.1662311003885704,0.052104208416833664
3,1.165217403747574,0.05410821643286573
3,1.1641435983099953,0.05611222444889779
3,1.1630369240867289,0.058116232464929855
3,1.1618980209847416,0.06012024048096192
3,1.160727547546573,0.06212424849699398
3,1.1595261805694845,0.06412825651302605
3,1.15829461471421,0.06613226452905811
3,1.157033562103193,0.06813627254509018
3,1.1557437519088951,0.07014028056112225
3,1.154425929932125,0.0721442885771543
3,1.1530808581708176,0.07414829659318636
3,1.1517093143793962,0.07615230460921843
3,1.1503120916191207,0.0781563126252505
3,1.148889997799448,0.08016032064128256
3,1.1474438552109176,0.08216432865731463
3,1.1459122918030957,0.08416833667334668
3,1.144418149702869,0.08617234468937875
3,1.1429025016237835,0.08817635270541081
3,1.1413662257053716,0.09018036072144288
3,1.1398102120385643,0.09218436873747494
3,1.1382353621500283,0.09418837675350701
3,1.1366425884797724,0.09619238476953906
3,1.1350328138525092,0.09819639278557113
3,1.1334069709430536,0.1002004008016032
3,1.1318499583636696,0.10220440881763526
3,1.1301108569792984,0.10420841683366733
3,1.1285311461178216,0.1062124248496994
3,1.1268528431753007,0.10821643286573146
3,1.1251632339029702,0.11022044088176351
3,1.123463295275562,0.11222444889779558
3,1.1217540102404904,0.11422845691382764
3,1.1200363671495206,0.11623246492985971
3,1.118311359187225,0.11823647294589178
3,1.1165799837967605,0.12024048096192384
3,1.1148432421030843,0.1222444889779559
3,1.113102138334067,0.12424849699398796
3,1.111357679239855,0.12625250501002003
3,1.1096108735107413,0.1282565130260521
3,1.1078627311938898,0.13026052104208416
3,1.1061142631092913,0.13226452905811623
3,1.1043664802653517,0.1342685370741483
3,1.1026203932742085,0.13627254509018036
3,1.1008770117674465,0.13827655310621242
3,1.0991373438122434,0.1402805611222445
3,1.0974023953285377,0.14228456913827653
3,1.0956731695073152,0.1442885771543086
3,1.0939506662306093,0.14629258517034066
3,1.0922358814932878,0.14829659318637273
3,1.0905298068271694,0.1503006012024048
3,1.0888334287276833,0.15230460921843686
3,1.087147728083464,0.15430861723446893
3,1.0854736796091913,0.156312625250501
3,1.0838122512819288,0.15831663326653306
3,1.0821644037814793,0.16032064128256512
3,1.080531089934855,0.1623246492985972
3,1.0789132541653512,0.16432865731462926
3,1.0771796805680178,0.16633266533066132
3,1.0755955047933288,0.16833667334669336
3,1.074029697656135,0.17034068136272543
3,1.0724831663572663,0.1723446893787575
3,1.0709568069294213,0.17434869739478956
3,1.0694515037181274,0.17635270541082163
3,1.0679681288692706,0.1783567134268537
3,1.0665075418238752,0.18036072144288576
3,1.0650705888200867,0.18236472945891782
3,1.0636581024029186,0.1843687374749499
3,1.0622709009418791,0.18637274549098196
3,1.0609097881568228,0.18837675350701402
3,1.0595755526522808,0.1903807615230461
3,1.0582689674605772,0.19238476953907813
3,1.0569907895939457,0.1943887775551102
3,1.0557417596058947,0.19639278557114226
3,1.0545226011621804,0.19839679358717432
3,1.05333402062153,0.2004008016032064
3,1.0521767066263699,0.20240480961923846
3,1.0511645230915914,0.20440881763527052
3,1.0499585418773119,0.2064128256513026
3,1.0488989762886092,0.20841683366733466
3,1.047873246831212,0.21042084168336672
3,1.0469852732411535,0.2124248496993988
3,1.0459256535195152,0.21442885771543085
3,1.0451025304950508,0.21643286573146292
3,1.0441202748921403,0.21843687374749496
3,1.0433636220115599,0.22044088176352702
3,1.0424612943601257,0.2224448897795591
3,1.0417725691323863,0.22444889779559116
3,1.040952556101821,0.22645290581162322
3,1.0403330512733113,0.2284569138276553
3,1.0395975561552173,0.23046092184368736
3,1.0390483974152789,0.23246492985971942
3,1.0383994343169398,0.2344689378757515
3,1.0379215784059268,0.23647294589178355
3,1.0373609668667387,0.23847695390781562
3,1.0369552000892797,0.24048096192384769
3,1.036484560134281,0.24248496993987975
3,1.036151497279572,0.2444889779559118
3,1.0357722449232816,0.24649298597194386
3,1.0355123285930974,0.24849699398797592
3,1.0352256718056683,0.250501002004008
3,1.0350391721500187,0.25250501002004005
3,1.0348461072969446,0.2545090180360721
3,1.0347331221561398,0.2565130260521042
3,1.034634430921395,0.25851703406813625
3,1.0345948863724468,0.2605210420841683
3,1.0345911331740703,0.2625250501002004
3,1.0346247844784116,0.26452905811623245
3,1.0347163143842182,0.2665330661322645
3,1.0348227473326654,0.2685370741482966
3,1.0350096844827923,0.27054108216432865
3,1.0351883171329257,0.2725450901803607
3,1.035470563674606,0.2745490981963928
3,1.035720648474671,0.27655310621242485
3,1.036097884013537,0.2785571142284569
3,1.0364185103062058,0.280561122244489
