L,g,h,PBC,long_mag,E_0,E_1,E_2,tran_mag,broken_mag
3,0.2,0.001,True,0.706174070809378,-3.03427322874012,-3.02586281028564,0.633028993071576,-0.110738424808361,0.994285275273779
3,0.2,0.0014384498882876629,True,0.818922382299319,-3.03528420301441,-3.02485185302286,0.6330276193292,-0.108709105141358,0.994420800583599
3,0.2,0.00206913808111479,True,0.897074635529657,-3.0369175999504,-3.02321849128608,0.633024776881798,-0.106685321509304,0.994556315529147
3,0.2,0.002976351441631319,True,0.94384500010414,-3.03943263151329,-3.02070353255537,0.633018895530956,-0.104930425354036,0.994674455503444
3,0.2,0.004281332398719396,True,0.969240307386226,-3.04318573749845,-3.01695057727078,0.633006726483623,-0.103532171556046,0.994769585795725
3,0.2,0.006158482110660267,True,0.982277785694303,-3.04868703340256,-3.01144959318996,0.63298154824156,-0.10245442846125,0.99484439263552
3,0.2,0.008858667904100823,True,0.988779303170724,-3.05667500477467,-3.00346226703635,0.632929456106487,-0.101613663320202,0.994904834058472
3,0.2,0.012742749857031334,True,0.991981263763621,-3.06821846373275,-2.99192014318017,0.632821692215049,-0.10092010996415,0.994957448405542
3,0.2,0.018329807108324356,True,0.993558902842515,-3.08486077797953,-2.9752805916823,0.63259880763788,-0.100289805108779,0.99500861096578
3,0.2,0.026366508987303583,True,0.99435109861612,-3.10882676390167,-2.95132032329148,0.632138029433989,-0.0996431334439105,0.995064697050122
3,0.2,0.0379269019073225,True,0.994772885816656,-3.14332048191007,-2.91683844002496,0.631186324432855,-0.0988985506345366,0.995132565091341
3,0.2,0.05455594781168517,True,0.995030562789663,-3.1929540787316,-2.86722934969786,0.629224369082121,-0.0979648789825917,0.995220107496382
3,0.2,0.07847599703514611,True,0.995229534575986,-3.26436533216865,-2.79586888422034,0.625195332164158,-0.0967334875841348,0.995336724934025
3,0.2,0.11288378916846883,True,0.995427244308688,-3.36710694227948,-2.69323270878141,0.616984834347928,-0.0950714746691793,0.99549354332345
3,0.2,0.1623776739188721,True,0.995658446261538,-3.51492725083415,-2.54563206558755,0.600499691544245,-0.0928178894068513,0.99570306827086
3,0.2,0.23357214690901212,True,0.99594620174146,-3.72761481131194,-2.33340565084599,0.568275349982404,-0.0897867091731493,0.995977818028027
3,0.2,0.3359818286283781,True,0.996304926078108,-4.0336549263987,-2.02834981695131,0.507949335461907,-0.0857821440380506,0.996327431195053
3,0.2,0.4832930238571752,True,0.996738696518787,-4.47405450018983,-1.59013469746495,0.401494729824821,-0.0806323246346601,0.99675408825016
3,0.2,0.6951927961775606,True,0.997237390845409,-5.10784582692874,-0.961787031366839,0.225790129298298,-0.0742436192941295,0.997247150794727
3,0.2,1.0,True,0.997774050231219,-6.01999999944814,-0.121126918253113,-0.0198039027185573,-0.066666659320803,0.997779642193667
3,0.2777777777777778,0.001,True,0.350708128739813,-3.06648556903449,-3.04971488299,0.51038538809864,-0.165809226330261,0.987876514895509
3,0.2777777777777778,0.0014384498882876629,True,0.47370458480366,-3.06703030919093,-3.04917017716863,0.510384384709251,-0.16420148344047,0.988025256455989
3,0.2777777777777778,0.00206913808111479,True,0.610753876451862,-3.06806333037637,-3.0481372270273,0.51038230856412,-0.161631428721354,0.988263211799452
3,0.2777777777777778,0.002976351441631319,True,0.740703781550676,-3.06991747356163,-3.04628323084251,0.510378012759118,-0.158134404864836,0.98858750308947
3,0.2777777777777778,0.004281332398719396,True,0.842769075016036,-3.0730403904284,-3.0431606181417,0.510369124256495,-0.154181059649562,0.988955275069541
3,0.2777777777777778,0.006158482110660267,True,0.910043400831698,-3.07800279721019,-3.03819884072851,0.510350733192853,-0.150401812268256,0.989309082606912
3,0.2777777777777778,0.008858667904100823,True,0.948923728234929,-3.085557232025,-3.03064570819526,0.510312681578766,-0.147187354297336,0.989613750486605
3,0.2777777777777778,0.012742749857031334,True,0.96961615296961,-3.09675525980064,-3.01945037515279,0.510233956249834,-0.144602271081487,0.989864439824808
3,0.2777777777777778,0.018329807108324356,True,0.980150757643958,-3.11311077936205,-3.00310043193498,0.51007109996577,-0.142520344869869,0.990074317054959
3,0.2777777777777778,0.026366508987303583,True,0.985419911313599,-3.13681692215394,-2.97940582980343,0.509734287317172,-0.140750637118854,0.99026307928519
