L,g,h,long_mag
9,0.1,0.021933884439777857,0.998771900573189
9,0.1,0.029999999999999995,0.998781749141
9,0.2,-0.029999999999999995,-0.995066578159401
9,0.2,-0.021933884439777857,-0.995025311083315
9,0.2,-0.016036509553917645,-0.994994787965502
9,0.2,-0.011724764912434108,-0.994972280801104
9,0.2,-0.008572321289096402,-0.99495572199509
9,0.2,-0.006267476817856269,-0.994943559763888
9,0.2,-0.004582337075061536,-0.994934637695409
9,0.2,-0.003350281728950314,-0.994928098451171
9,0.2,-0.0024494897427831787,-0.994923308803563
9,0.2,-0.001790894165154248,-0.994919802331891
9,0.2,-0.0013093755220788574,-0.994917236166452
9,0.2,-0.0009573230463183821,-0.994915358626147
9,0.2,-0.0006999271023161168,-0.994913985158475
9,0.2,-0.0005117373392823427,-0.994912980531707
9,0.2,-0.00037414625544461,-0.994912245694314
9,0.2,-0.00027354935768325616,-0.994911708095206
9,0.2,-0.00020000000000000004,-0.994911314553268
9,0.2,0.00020000000000000004,0.994911314553267
9,0.2,0.00027354935768325616,0.994911708095204
9,0.2,0.00037414625544461,0.994912245694319
9,0.2,0.0005117373392823427,0.994912980531707
9,0.2,0.0006999271023161168,0.994913985158481
9,0.2,0.0009573230463183821,0.994915358626145
9,0.2,0.0013093755220788574,0.994917236166451
9,0.2,0.001790894165154248,0.994919802331886
9,0.2,0.0024494897427831787,0.994923308803567
9,0.2,0.003350281728950314,0.994928098451166
9,0.2,0.004582337075061536,0.994934637695409
9,0.2,0.006267476817856269,0.994943559763883
9,0.2,0.008572321289096402,0.99495572199509
9,0.2,0.011724764912434108,0.994972280801103
9,0.2,0.016036509553917645,0.994994787965501
9,0.2,0.021933884439777857,0.995025311083315
9,0.2,0.029999999999999995,0.995066578159398
9,0.30000000000000004,-0.029999999999999995,-0.988662646932986
9,0.30000000000000004,-0.021933884439777857,-0.988562028470834
9,0.30000000000000004,-0.016036509553917645,-0.988487474808499
9,0.30000000000000004,-0.011724764912434108,-0.988432427275763
9,0.30000000000000004,-0.008572321289096402,-0.988391887693267
9,0.30000000000000004,-0.006267476817856269,-0.988362089393283
9,0.30000000000000004,-0.004582337075061536,-0.988340216681282
9,0.30000000000000004,-0.003350281728950314,-0.988324176944261
9,0.30000000000000004,-0.0024494897427831787,-0.988312421172233
9,0.30000000000000004,-0.001790894165154248,-0.988303805383977
9,0.30000000000000004,-0.0013093755220788574,-0.988297484813921
9,0.30000000000000004,-0.0009573230463183821,-0.988292833215301
9,0.30000000000000004,-0.0006999271023161168,-0.988289380391905
9,0.30000000000000004,-0.0005117373392823427,-0.988286761538041
9,0.30000000000000004,-0.00037414625544461,-0.988284671679388
9,0.30000000000000004,-0.00027354935768325616,-0.988282816861279
9,0.30000000000000004,-0.00020000000000000004,-0.988280849695916
9,0.30000000000000004,0.00020000000000000004,0.988280849695924
9,0.30000000000000004,0.00027354935768325616,0.988282816861274
9,0.30000000000000004,0.00037414625544461,0.988284671679383
9,0.30000000000000004,0.0005117373392823427,0.98828676153804
9,0.30000000000000004,0.0006999271023161168,0.98828938039191
9,0.30000000000000004,0.0009573230463183821,0.988292833215297
9,0.30000000000000004,0.0013093755220788574,0.988297484813922
9,0.30000000000000004,0.001790894165154248,0.988303805383973
9,0.30000000000000004,0.0024494897427831787,0.988312421172235
9,0.30000000000000004,0.003350281728950314,0.988324176944264
9,0.30000000000000004,0.004582337075061536,0.988340216681284
9,0.30000000000000004,0.006267476817856269,0.988362089393284
9,0.30000000000000004,0.008572321289096402,0.988391887693268
9,0.30000000000000004,0.011724764912434108,0.988432427275767
9,0.30000000000000004,0.016036509553917645,0.988487474808504
9,0.30000000000000004,0.021933884439777857,0.988562028470837
9,0.30000000000000004,0.029999999999999995,0.988662646932989
9,0.4,-0.029999999999999995,-0.97921093918226
9,0.4,-0.021933884439777857,-0.979009410869533
9,0.4,-0.016036509553917645,-0.978859627170547
9,0.4,-0.011724764912434108,-0.978748754014844
9,0.4,-0.008572321289096402,-0.978666908862575
9,0.4,-0.006267476817856269,-0.97860657075229
9,0.4,-0.004582337075061536,-0.978562047506396
9,0.4,-0.003350281728950314,-0.978529015442979
9,0.4,-0.0024494897427831787,-0.978504120331335
9,0.4,-0.001790894165154248,-0.978484608664255
9,0.4,-0.0013093755220788574,-0.978467936547688
9,0.4,-0.0009573230463183821,-0.97845126890143
9,0.4,-0.0006999271023161168,-0.978430718325475
9,0.4,-0.0005117373392823427,-0.978400053754812
9,0.4,-0.00037414625544461,-0.978348384738261
9,0.4,-0.00027354935768325616,-0.978255907486485
9,0.4,-0.00020000000000000004,-0.978086018239723
9,0.4,0.00020000000000000004,0.978086018239733
9,0.4,0.00027354935768325616,0.978255907486408
9,0.4,0.00037414625544461,0.978348384738271
9,0.4,0.0005117373392823427,0.978400053754801
9,0.4,0.0006999271023161168,0.978430718325482
9,0.4,0.0009573230463183821,0.978451268901434
9,0.4,0.0013093755220788574,0.978467936547687
9,0.4,0.001790894165154248,0.978484608664252
9,0.4,0.0024494897427831787,0.978504120331337
9,0.4,0.003350281728950314,0.978529015442978
9,0.4,0.004582337075061536,0.978562047506391
9,0.4,0.006267476817856269,0.978606570752287
9,0.4,0.008572321289096402,0.978666908862577
9,0.4,0.011724764912434108,0.978748754014838
9,0.4,0.016036509553917645,0.978859627170546
9,0.4,0.021933884439777857,0.979009410869532
9,0.4,0.029999999999999995,0.979210939182261
9,0.5,-0.029999999999999995,-0.966109228086798
9,0.5,-0.021933884439777857,-0.965736782600778
9,0.5,-0.016036509553917645,-0.965457819032936
9,0.5,-0.011724764912434108,-0.965249083554553
9,0.5,-0.008572321289096402,-0.965091822367535
9,0.5,-0.006267476817856269,-0.964970516996396
9,0.5,-0.004582337075061536,-0.964871289193453
9,0.5,-0.003350281728950314,-0.964779735690039
9,0.5,-0.0024494897427831787,-0.964677633840227
9,0.5,-0.001790894165154248,-0.964537429593019
9,0.5,-0.0013093755220788574,-0.964312474758378
9,0.5,-0.0009573230463183821,-0.963919263998104
9,0.5,-0.0006999271023161168,-0.963204828607079
9,0.5,-0.0005117373392823427,-0.961887039885396
9,0.5,-0.00037414625544461,-0.959446763616277
9,0.5,-0.00027354935768325616,-0.954938654509796
9,0.5,-0.00020000000000000004,-0.946678465028803
9,0.5,0.00020000000000000004,0.946678465029643
9,0.5,0.00027354935768325616,0.9549386545099
9,0.5,0.00037414625544461,0.959446763616128
9,0.5,0.0005117373392823427,0.961887039885478
9,0.5,0.0006999271023161168,0.963204828607036
9,0.5,0.0009573230463183821,0.963919263998084
9,0.5,0.0013093755220788574,0.964312474758382
9,0.5,0.001790894165154248,0.964537429593023
9,0.5,0.0024494897427831787,0.964677633840226
9,0.5,0.003350281728950314,0.964779735690039
9,0.5,0.004582337075061536,0.964871289193453
9,0.5,0.006267476817856269,0.964970516996396
9,0.5,0.008572321289096402,0.96509182236753
9,0.5,0.011724764912434108,0.965249083554549
