L,g,h,E_ground,long_mag,trans_mag
13,0.2,-1.0,-25.0933128078284,-0.995016493470246,-0.997764951061382
13,0.2,-0.8947368421052632,-23.7286730526176,-0.994448035793906,-0.997595955361275
13,0.2,-0.7894736842105263,-22.364367338548,-0.993776151971308,-0.997406175112823
13,0.2,-0.6842105263157895,-21.0004448330599,-0.99297396516721,-0.997191669466762
13,0.2,-0.5789473684210527,-19.6369656406127,-0.992005145146349,-0.996947296041819
13,0.2,-0.4736842105263158,-18.2740043217698,-0.990819515310638,-0.996666092941221
13,0.2,-0.368421052631579,-16.9116550219188,-0.989345966934243,-0.996338147357578
13,0.2,-0.26315789473684215,-15.5500392607232,-0.987480455514085,-0.995948322086699
13,0.2,-0.1578947368421053,-14.1893184410842,-0.985064254346822,-0.995471131072436
13,0.2,-0.052631578947368474,-12.8297156404547,-0.981840408275343,-0.994857327787175
13,0.2,0.05263157894736836,-12.8297156404547,0.981840408275347,0.994857327787175
13,0.2,0.1578947368421053,-14.1893184410842,0.985064254346808,0.995471131072437
13,0.2,0.26315789473684204,-15.5500392607232,0.987480455514089,0.995948322086699
13,0.2,0.36842105263157876,-16.9116550219188,0.989345966934243,0.996338147357574
13,0.2,0.4736842105263157,-18.2740043217697,0.990819515310627,0.996666092941213
13,0.2,0.5789473684210527,-19.6369656406127,0.992005145146348,0.996947296041822
13,0.2,0.6842105263157894,-21.0004448330599,0.99297396516721,0.99719166946676
13,0.2,0.7894736842105261,-22.364367338548,0.993776151971315,0.997406175112817
13,0.2,0.894736842105263,-23.7286730526176,0.994448035793915,0.997595955361283
13,0.2,1.0,-25.0933128078284,0.995016493470245,0.997764951061378
13,0.5,-1.0,-25.5824997684331,-0.96939033200698,-0.985637415704291
13,0.5,-0.8947368421052632,-24.2378186218689,-0.965921368887578,-0.984445297755787
13,0.5,-0.7894736842105263,-22.895290678732,-0.961816354409537,-0.983068083496212
13,0.5,-0.6842105263157895,-21.5552550535594,-0.956903406608859,-0.981453244888042
13,0.5,-0.5789473684210527,-20.218137195665,-0.950944095528973,-0.979522756918485
13,0.5,-0.4736842105263158,-18.8844837415891,-0.94359626086725,-0.977154119160436
13,0.5,-0.368421052631579,-17.5550195863185,-0.934346082974654,-0.974141145182359
13,0.5,-0.26315789473684215,-16.2307495914466,-0.922370586214012,-0.970103804093582
13,0.5,-0.1578947368421053,-14.9131639743783,-0.906213399145048,-0.964246496698646
13,0.5,-0.052631578947368474,-13.6047488949829,-0.882794818804577,-0.954520761496684
13,0.5,0.05263157894736836,-13.6047488949829,0.882794818804576,0.954520761496683
13,0.5,0.1578947368421053,-14.9131639743782,0.906213399145041,0.964246496698645
13,0.5,0.26315789473684204,-16.2307495914466,0.922370586214017,0.970103804093588
13,0.5,0.36842105263157876,-17.5550195863185,0.934346082974651,0.974141145182357
13,0.5,0.4736842105263157,-18.8844837415891,0.943596260867244,0.977154119160432
13,0.5,0.5789473684210527,-20.218137195665,0.950944095528965,0.979522756918482
13,0.5,0.6842105263157894,-21.5552550535594,0.956903406608858,0.981453244888039
13,0.5,0.7894736842105261,-22.895290678732,0.96181635440954,0.983068083496208
13,0.5,0.894736842105263,-24.2378186218689,0.965921368887576,0.984445297755784
13,0.5,1.0,-25.5824997684331,0.969390332006966,0.985637415704284
13,0.8,-1.0,-26.4874855263842,-0.924146332183019,-0.961655633040238
13,0.8,-0.8947368421052632,-25.1802436675071,-0.915672506411362,-0.958064529461841
13,0.8,-0.7894736842105263,-23.8787952268713,-0.905634044604574,-0.953782866002787
13,0.8,-0.6842105263157895,-22.5841523041945,-0.89358589417614,-0.94856597463722
13,0.8,-0.5789473684210527,-21.297635165484,-0.878889209838065,-0.942029982220859
13,0.8,-0.4736842105263158,-20.0210308073697,-0.860580467831416,-0.933535088589255
13,0.8,-0.368421052631579,-18.7568854878482,-0.837101914688523,-0.921926739544533
13,0.8,-0.26315789473684215,-17.5091161714686,-0.80565783773268,-0.904873365275108
13,0.8,-0.1578947368421053,-16.2845665013545,-0.760269190703904,-0.876735729106756
13,0.8,-0.052631578947368474,-15.0988194779261,-0.682307108085173,-0.81759415817979
13,0.8,0.05263157894736836,-15.0988194779261,0.682307108085174,0.817594158179792
13,0.8,0.1578947368421053,-16.2845665013544,0.760269190703895,0.876735729106747
13,0.8,0.26315789473684204,-17.5091161714686,0.805657837732683,0.904873365275108
13,0.8,0.36842105263157876,-18.7568854878482,0.837101914688514,0.921926739544532
13,0.8,0.4736842105263157,-20.0210308073697,0.860580467831412,0.933535088589255
13,0.8,0.5789473684210527,-21.2976351654841,0.878889209838072,0.942029982220858
13,0.8,0.6842105263157894,-22.5841523041945,0.893585894176142,0.948565974637225
13,0.8,0.7894736842105261,-23.8787952268713,0.90563404460458,0.953782866002783
13,0.8,0.894736842105263,-25.180243667507,0.915672506411359,0.958064529461837
13,0.8,1.0,-26.4874855263841,0.924146332183018,0.961655633040235
15,0.34,-0.4,-20.3961742479991,-0.970745965193408,-0.989263910654948
15,0.34,-0.35789473684210527,-19.7728866949622,-0.968874391526301,-0.988780190422516
15,0.34,-0.31578947368421056,-19.1499937326189,-0.966809476372079,-0.988249721702846
15,0.34,-0.2736842105263158,-18.5275292333944,-0.964521447557809,-0.987663461102702
15,0.34,-0.23157894736842108,-17.9055320023034,-0.961973807224877,-0.98700948919665
15,0.34,-0.18947368421052635,-17.2840469614912,-0.959121092713381,-0.986271715298103
15,0.34,-0.1473684210526316,-16.6631267867479,-0.955905542186829,-0.985427799641987
15,0.34,-0.10526315789473689,-16.0428342583409,-0.952251888610983,-0.984445660452877
15,0.34,-0.06315789473684214,-15.4232458138183,-0.948058713134522,-0.983277234207418
15,0.34,-0.02105263157894738,-14.8044573033429,-0.943182807196357,-0.981846354443861
15,0.34,0.021052631578947323,-14.804457303343,0.94318280719635,0.98184635444385
15,0.34,0.06315789473684208,-15.4232458138183,0.948058713134492,0.983277234207412
15,0.34,0.10526315789473684,-16.0428342583409,0.952251888610953,0.984445660452862
15,0.34,0.1473684210526316,-16.6631267867479,0.955905542186825,0.98542779964197
15,0.34,0.18947368421052624,-17.2840469614912,0.959121092713361,0.986271715298105
15,0.34,0.231578947368421,-17.9055320023034,0.96197380722485,0.987009489196631
15,0.34,0.27368421052631575,-18.5275292333943,0.964521447557802,0.987663461102678
15,0.34,0.3157894736842105,-19.1499937326189,0.966809476372076,0.988249721702824
15,0.34,0.35789473684210527,-19.7728866949622,0.968874391526284,0.988780190422518
15,0.34,0.4,-20.3961742479991,0.970745965193409,0.989263910654939
15,0.52,-0.4,-20.9282166851426,-0.932356828455059,-0.972841438756909
15,0.52,-0.35789473684210527,-20.3164694929743,-0.927948361179682,-0.971347635805275
15,0.52,-0.31578947368421056,-19.7057351215751,-0.92305251962525,-0.969661085225269
15,0.52,-0.2736842105263158,-19.0961152635533,-0.917582503810178,-0.967734907705952
15,0.52,-0.23157894736842108,-18.4877306433654,-0.911426832950893,-0.965504669763282
15,0.52,-0.18947368421052635,-17.8807272410802,-0.904438374425419,-0.962879063558812
15,0.52,-0.1473684210526316,-17.2752858135858,-0.896415995514486,-0.95972366239109
15,0.52,-0.10526315789473689,-16.6716374106361,-0.887071468047847,-0.955830440281709
15,0.52,-0.06315789473684214,-16.0700909695645,-0.875963161278884,-0.95085436432307
15,0.52,-0.02105263157894738,-15.4710892820811,-0.862340143903402,-0.944158858443223
15,0.52,0.021052631578947323,-15.4710892820811,0.862340143903404,0.944158858443226
15,0.52,0.06315789473684208,-16.0700909695645,0.875963161278883,0.950854364323067
15,0.52,0.10526315789473684,-16.6716374106361,0.887071468047844,0.955830440281711
15,0.52,0.1473684210526316,-17.2752858135857,0.896415995514485,0.959723662391089
15,0.52,0.18947368421052624,-17.8807272410802,0.904438374425425,0.962879063558814
15,0.52,0.231578947368421,-18.4877306433654,0.91142683295091,0.965504669763287
15,0.52,0.27368421052631575,-19.0961152635533,0.917582503810178,0.967734907705952
15,0.52,0.3157894736842105,-19.7057351215751,0.92305251962525,0.969661085225263
15,0.52,0.35789473684210527,-20.3164694929743,0.92794836117968,0.971347635805258
15,0.52,0.4,-20.9282166851426,0.932356828455066,0.972841438756915
15,0.77,-0.4,-22.0413163192718,-0.855625194982054,-0.932341644334032
15,0.77,-0.35789473684210527,-21.4551712468817,-0.845941488848392,-0.927603810352535
15,0.77,-0.31578947368421056,-20.8716803755098,-0.835062476904899,-0.922085755590566
15,0.77,-0.2736842105263158,-20.2911892402769,-0.82272506266875,-0.915560044295952
15,0.77,-0.23157894736842108,-19.7141341323291,-0.808566691203192,-0.907697381458008
15,0.77,-0.18947368421052635,-19.1410845275581,-0.792064520574342,-0.897998966452138
15,0.77,-0.1473684210526316,-18.5728179752068,-0.772416708989883,-0.885661930540973
15,0.77,-0.10526315789473689,-18.0104671539637,-0.748279844258059,-0.869276460240334
15,0.77,-0.06315789473684214,-17.4558595193314,-0.717064793676685,-0.846000476677763
15,0.77,-0.02105263157894738,-16.9125782285278,-0.672150055198424,-0.80824185147276
15,0.77,0.021052631578947323,-16.9125782285278,0.67215005519842,0.808241851472769
15,0.77,0.06315789473684208,-17.4558595193313,0.717064793676687,0.846000476677765
15,0.77,0.10526315789473684,-18.0104671539637,0.748279844258069,0.869276460240335
15,0.77,0.1473684210526316,-18.5728179752068,0.772416708989874,0.885661930540967
15,0.77,0.18947368421052624,-19.1410845275581,0.792064520574347,0.897998966452145
15,0.77,0.231578947368421,-19.7141341323291,0.808566691203194,0.907697381458018
15,0.77,0.27368421052631575,-20.2911892402769,0.822725062668749,0.915560044295948
15,0.77,0.3157894736842105,-20.8716803755098,0.835062476904908,0.922085755590556
15,0.77,0.35789473684210527,-21.4551712468817,0.845941488848393,0.92760381035253
15,0.77,0.4,-22.0413163192717,0.855625194982044,0.932341644334025
15,0.05,-0.01,-14.1605615896387,-0.998773929874705,-0.999688661792354
15,0.05,-0.008947368421052631,-14.1447789438743,-0.998771363410233,-0.999688326012353
15,0.05,-0.007894736842105263,-14.1289963080022,-0.998768788842207,-0.999687989636031
15,0.05,-0.006842105263157895,-14.1132136820469,-0.998766206136188,-0.999687652661473
15,0.05,-0.005789473684210527,-14.0974310660326,-0.998763615257515,-0.999687315086841
15,0.05,-0.004736842105263158,-14.0816484599841,-0.998761016171352,-0.999686976910195
15,0.05,-0.00368421052631579,-14.0658658639256,-0.998758408842638,-0.999686638129661
15,0.05,-0.0026315789473684214,-14.0500832778823,-0.998755793236189,-0.999686298743303
15,0.05,-0.001578947368421053,-14.0343007018785,-0.998753169316533,-0.999685958749191
15,0.05,-0.0005263157894736855,-14.0185181359394,-0.998750537048088,-0.999685618145358
15,0.05,0.0005263157894736838,-14.0185181359395,0.998750537048118,0.99968561814539
15,0.05,0.001578947368421053,-14.0343007018785,0.998753169316541,0.999685958749194
15,0.05,0.0026315789473684206,-14.0500832778821,0.998755793236193,0.999686298743315
15,0.05,0.003684210526315788,-14.0658658639256,0.998758408842653,0.999686638129668
15,0.05,0.004736842105263157,-14.081648459984,0.998761016171358,0.999686976910207
15,0.05,0.005789473684210527,-14.0974310660326,0.998763615257514,0.999687315086829
15,0.05,0.006842105263157894,-14.1132136820468,0.99876620613618,0.999687652661468
15,0.05,0.007894736842105262,-14.1289963080023,0.998768788842198,0.999687989636018
15,0.05,0.00894736842105263,-14.1447789438744,0.998771363410226,0.999688326012361
15,0.05,0.01,-14.1605615896388,0.998773929874734,0.99968866179237
15,0.15,-0.01,-14.2451821142346,-0.988914473145515,-0.997057432441585
15,0.15,-0.008947368421052631,-14.2294547806132,-0.988890764150702,-0.997053565166635
15,0.15,-0.007894736842105263,-14.2137275402669,-0.988866975851345,-0.997049685956818
15,0.15,-0.006842105263157895,-14.1980003934476,-0.988843107864237,-0.997045794730397
15,0.15,-0.005789473684210527,-14.1822733404089,-0.988819159803682,-0.997041891404636
15,0.15,-0.004736842105263158,-14.1665463814053,-0.988795131281257,-0.99703797589605
15,0.15,-0.00368421052631579,-14.1508195166928,-0.988771021905882,-0.997034048120033
15,0.15,-0.0026315789473684214,-14.135092746528,-0.988746831283707,-0.99703010799121
15,0.15,-0.001578947368421053,-14.1193660711693,-0.988722559018182,-0.99702615542311
15,0.15,-0.0005263157894736855,-14.1036394908756,-0.988698204709952,-0.997022190328337
15,0.15,0.0005263157894736838,-14.1036394908756,0.988698204709956,0.997022190328356
15,0.15,0.001578947368421053,-14.1193660711693,0.988722559018189,0.997026155423119
15,0.15,0.0026315789473684206,-14.135092746528,0.988746831283708,0.997030107991216
15,0.15,0.003684210526315788,-14.1508195166928,0.988771021905863,0.997034048120042
15,0.15,0.004736842105263157,-14.1665463814054,0.988795131281243,0.997037975896036
15,0.15,0.005789473684210527,-14.1822733404089,0.988819159803661,0.997041891404649
