L,g,h,long_mag
3,0.0,0.029999999999999995,1.0
3,0.0,0.021933884439777857,1.0
3,0.0,0.016036509553917645,1.0
3,0.0,0.011724764912434108,1.0
3,0.0,0.008572321289096402,1.0
3,0.0,0.006267476817856269,1.0
3,0.0,0.004582337075061536,1.0
3,0.0,0.003350281728950314,1.0
3,0.0,0.0024494897427831787,1.0
3,0.0,0.001790894165154248,1.0
3,0.0,0.0013093755220788574,1.0
3,0.0,0.0009573230463183821,1.0
3,0.0,0.0006999271023161168,1.0
3,0.0,0.0005117373392823427,1.0
3,0.0,0.00037414625544461,1.0
3,0.0,0.00027354935768325616,1.0
3,0.0,0.00020000000000000004,1.0
3,0.1,0.029999999999999995,0.998773222171761
3,0.1,0.021933884439777857,0.998755857458277
3,0.1,0.016036509553917645,0.998734514919328
3,0.1,0.011724764912434108,0.998702838677334
3,0.1,0.008572321289096402,0.998649672566578
3,0.1,0.006267476817856269,0.998554712237265
3,0.1,0.004582337075061536,0.998380426658062
3,0.1,0.003350281728950314,0.998057039205692
3,0.1,0.0024494897427831787,0.99745467335065
3,0.1,0.001790894165154248,0.996332017074045
3,0.1,0.0013093755220788574,0.99424290278799
3,0.1,0.0009573230463183821,0.990370439620028
3,0.1,0.0006999271023161168,0.983246472726018
3,0.1,0.0005117373392823427,0.9703225955191
3,0.1,0.00037414625544461,0.947454888090972
3,0.1,0.00027354935768325616,0.908691731487634
3,0.1,0.00020000000000000004,0.847380548432403
3,0.2,0.029999999999999995,0.994529591018673
3,0.2,0.021933884439777857,0.994015653061192
3,0.2,0.016036509553917645,0.993102399069672
3,0.2,0.011724764912434108,0.991434608268818
3,0.2,0.008572321289096402,0.988361829586279
3,0.2,0.006267476817856269,0.982707274357442
3,0.2,0.004582337075061536,0.972397344946569
3,0.2,0.003350281728950314,0.953959862397245
3,0.2,0.0024494897427831787,0.922117652975406
3,0.2,0.001790894165154248,0.870234789931943
3,0.2,0.0013093755220788574,0.792898575627981
3,0.2,0.0009573230463183821,0.690726443131988
3,0.2,0.0006999271023161168,0.573408146856509
3,0.2,0.0005117373392823427,0.455961072127138
3,0.2,0.00037414625544461,0.350962077951537
3,0.2,0.00027354935768325616,0.264368713558304
3,0.2,0.00020000000000000004,0.196544283838602
3,0.30000000000000004,0.029999999999999995,0.982753133838369
3,0.30000000000000004,0.021933884439777857,0.977529017373733
3,0.30000000000000004,0.016036509553917645,0.968078028521908
3,0.30000000000000004,0.011724764912434108,0.951181397923171
3,0.30000000000000004,0.008572321289096402,0.921860572471516
3,0.30000000000000004,0.006267476817856269,0.873621985171022
3,0.30000000000000004,0.004582337075061536,0.800641809925231
3,0.30000000000000004,0.003350281728950314,0.702352120016661
3,0.30000000000000004,0.0024494897427831787,0.587108743379161
3,0.30000000000000004,0.001790894165154248,0.469531400945847
3,0.30000000000000004,0.0013093755220788574,0.362872397465182
3,0.30000000000000004,0.0009573230463183821,0.274041339346283
3,0.30000000000000004,0.0006999271023161168,0.20404299846849
3,0.30000000000000004,0.0005117373392823427,0.150683697232453
3,0.30000000000000004,0.00037414625544461,0.110770024882952
3,0.30000000000000004,0.00027354935768325616,0.0812249787833847
3,0.30000000000000004,0.00020000000000000004,0.0594795247323117
3,0.4,0.029999999999999995,0.948480455846559
3,0.4,0.021933884439777857,0.923452646720224
3,0.4,0.016036509553917645,0.881652476242556
3,0.4,0.011724764912434108,0.816731698314796
3,0.4,0.008572321289096402,0.726098371413291
3,0.4,0.006267476817856269,0.615407098072025
3,0.4,0.004582337075061536,0.498037475151604
3,0.4,0.003350281728950314,0.388250364606262
3,0.4,0.0024494897427831787,0.294852854739401
3,0.4,0.001790894165154248,0.220273427726396
3,0.4,0.0013093755220788574,0.162979062946561
3,0.4,0.0009573230463183821,0.119934487045445
3,0.4,0.0006999271023161168,0.0879953784236822
3,0.4,0.0005117373392823427,0.0644572636437009
3,0.4,0.00037414625544461,0.0471741987264072
3,0.4,0.00027354935768325616,0.0345090913016715
3,0.4,0.00020000000000000004,0.02523790959221
3,0.5,0.029999999999999995,0.867080812632013
3,0.5,0.021933884439777857,0.800744977955409
3,0.5,0.016036509553917645,0.709180985761505
3,0.5,0.011724764912434108,0.598691002548454
3,0.5,0.008572321289096402,0.482844051463525
3,0.5,0.006267476817856269,0.375450778031474
3,0.5,0.004582337075061536,0.284660235653909
3,0.5,0.003350281728950314,0.212447526594801
3,0.5,0.0024494897427831787,0.157099573579073
3,0.5,0.001790894165154248,0.115571507619097
3,0.5,0.0013093755220788574,0.0847797572570096
3,0.5,0.0009573230463183821,0.0620960516414709
3,0.5,0.0006999271023161168,0.0454438432270861
3,0.5,0.0005117373392823427,0.0332424070134902
