L,g,chi
3,1.9183673469387754,-0.09174756579961431
3,1.9591836734693877,-0.08848892790122892
3,2.0,-0.08536582655149369
4,0.0,0.0
4,0.04081632653061224,-0.010218979445908105
4,0.08163265306122448,-0.02052788065074348
4,0.12244897959183673,-0.031019099150172383
4,0.16326530612244897,-0.041789050947153475
4,0.2040816326530612,-0.052937926703009036
4,0.24489795918367346,-0.06456691640190804
4,0.2857142857142857,-0.07677238175135213
4,0.32653061224489793,-0.08963677670056466
4,0.36734693877551017,-0.10321656875244105
4,0.4081632653061224,-0.11752800144682772
4,0.44897959183673464,-0.13253223055033952
4,0.4897959183673469,-0.14812205820127872
4,0.5306122448979591,-0.16411300494571135
4,0.5714285714285714,-0.18024155025046665
4,0.6122448979591836,-0.1961728141473467
4,0.6530612244897959,-0.21151863085350428
4,0.6938775510204082,-0.22586502269457934
4,0.7346938775510203,-0.23880594994650878
4,0.7755102040816326,-0.24997851760080728
4,0.8163265306122448,-0.25909416724697726
4,0.8571428571428571,-0.2659610592519519
4,0.8979591836734693,-0.2704946962510711
4,0.9387755102040816,-0.27271626209900507
4,0.9795918367346939,-0.2727404252982242
4,1.0,-0.27198517755055446
4,1.0204081632653061,-0.2707558907004718
4,1.0612244897959182,-0.2670025241940093
4,1.1020408163265305,-0.2617485313477002
4,1.1428571428571428,-0.2552702632480016
4,1.183673469387755,-0.24783612704697153
4,1.2244897959183672,-0.23969508465125422
4,1.2653061224489794,-0.23106949309918579
4,1.3061224489795917,-0.22215160739712428
4,1.346938775510204,-0.21310289395198026
4,1.3877551020408163,-0.20405530610089861
4,1.4285714285714284,-0.19511378799724607
4,1.4693877551020407,-0.18635942294775756
4,1.510204081632653,-0.17785280384979898
4,1.5510204081632653,-0.16963733909691636
4,1.5918367346938773,-0.16174232154613843
4,1.6326530612244896,-0.1541856658005993
4,1.673469387755102,-0.14697628130015153
4,1.7142857142857142,-0.14011608205263615
4,1.7551020408163265,-0.1336016570976502
4,1.7959183673469385,-0.1274256379016326
4,1.8367346938775508,-0.12157780039854525
4,1.8775510204081631,-0.11604594419769047
4,1.9183673469387754,-0.11081658349770383
4,1.9591836734693877,-0.10587548409588005
4,2.0,-0.10120807449820778
5,0.0,0.0
5,0.04081632653061224,-0.010218979651299365
5,0.08163265306122448,-0.02052790930004863
5,0.12244897959183673,-0.031019581697507802
5,0.16326530612244897,-0.041792600352367634
5,0.2040816326530612,-0.05295445200080576
5,0.24489795918367346,-0.06462438589773652
5,0.2857142857142857,-0.07693541934588713
5,0.32653061224489793,-0.0900343506021403
5,0.36734693877551017,-0.10407824124690307
5,0.4081632653061224,-0.11922555939658128
5,0.44897959183673464,-0.1356202230009537
5,0.4897959183673469,-0.1533673807997349
5,0.5306122448979591,-0.1725011735997729
5,0.5714285714285714,-0.19294705280044228
5,0.6122448979591836,-0.21448436634955922
5,0.6530612244897959,-0.23671813105097603
5,0.6938775510204082,-0.25907086230011617
5,0.7346938775510203,-0.2808042936989697
5,0.7755102040816326,-0.3010755610468856
5,0.8163265306122448,-0.31902335864488485
5,0.8571428571428571,-0.33386945934913415
5,0.8979591836734693,-0.3450141673999198
5,0.9387755102040816,-0.35210437404944706
5,0.9795918367346939,-0.35506046390010854
5,1.0,-0.3550349071433978
5,1.0204081632653061,-0.3540601828976428
5,1.0612244897959182,-0.34948867044574977
5,1.1020408163265305,-0.3418701636981133
5,1.1428571428571428,-0.33179728235248857
5,1.183673469387755,-0.3198698357999158
5,1.2244897959183672,-0.30664945174584457
5,1.2653061224489794,-0.2926312522502897
5,1.3061224489795917,-0.2782304397523452
5,1.346938775510204,-0.2637801099530307
5,1.3877551020408163,-0.24953642059735995
5,1.4285714285714284,-0.23568782089712276
5,1.4693877551020407,-0.222365901196495
5,1.510204081632653,-0.20965626075093763
5,1.5510204081632653,-0.19760847025244604
5,1.5918367346938773,-0.186244691895322
5,1.6326530612244896,-0.17556683784998753
5,1.673469387755102,-0.16556233039979668
5,1.7142857142857142,-0.15620862099838623
5,1.7551020408163265,-0.1474766573463013
5,1.7959183673469385,-0.13933349199876968
5,1.8367346938775508,-0.13174420455033542
5,1.8775510204081631,-0.12467328939698633
5,1.9183673469387754,-0.11808563125026783
5,1.9591836734693877,-0.11194716945033203
5,2.0,-0.10622533044776582
6,0.0,-4.9960036107804746e-11
6,0.04081632653061224,-0.0102189797012594
6,0.08163265306122448,-0.020527909499888773
6,0.12244897959183673,-0.03101959085129664
6,0.16326530612244897,-0.04179272035082325
6,0.2040816326530612,-0.0529553261015975
6,0.24489795918367346,-0.06462877025172746
6,0.2857142857142857,-0.07695238339827207
6,0.32653061224489793,-0.09008851160004872
6,0.36734693877551017,-0.1042272230460217
6,0.4081632653061224,-0.11958906135289196
6,0.44897959183673464,-0.13642306474958565
6,0.4897959183673469,-0.15499594764776847
6,0.5306122448979591,-0.17556726574659456
6,0.5714285714285714,-0.19834536434818428
6,0.6122448979591836,-0.22342112890170365
6,0.6530612244897959,-0.2506823712483905
6,0.6938775510204082,-0.27972171554962943
6,0.7346938775510203,-0.3097634224493408
6,0.7755102040816326,-0.3396442674474763
6,0.8163265306122448,-0.3678816579009472
6,0.8571428571428571,-0.39284142869542504
6,0.8979591836734693,-0.4129805597969528
6,0.9387755102040816,-0.4271027446461681
6,0.9795918367346939,-0.4345503253482661
6,1.0,-0.43573354654705554
6,1.0204081632653061,-0.43527696399751237
6,1.0612244897959182,-0.4297912457512253
6,1.1020408163265305,-0.4190061916959115
6,1.1428571428571428,-0.4040515266952213
6,1.183673469387755,-0.38610041850098054
6,1.2244897959183672,-0.366241339147909
6,1.2653061224489794,-0.3454030957949626
6,1.3061224489795917,-0.32432571814631905
6,1.346938775510204,-0.30356345544847313
6,1.3877551020408163,-0.28350613589892226
6,1.4285714285714284,-0.26440824630151716
6,1.4693877551020407,-0.24641883474679319
6,1.510204081632653,-0.22960848984748275
6,1.5510204081632653,-0.21399184344932073
6,1.5918367346938773,-0.1995453521961538
6,1.6326530612244896,-0.18622079159691513
6,1.673469387755102,-0.1739551616463925
6,1.7142857142857142,-0.16267774605065463
6,1.7551020408163265,-0.1523149952488159
6,1.7959183673469385,-0.14279379314991725
6,1.8367346938775508,-0.134043551701889
6,1.8775510204081631,-0.12599747294867628
6,1.9183673469387754,-0.11859323085150497
6,1.9591836734693877,-0.11177326040205987
6,2.0,-0.10548478439551262
7,0.0,4.9960036107804746e-11
7,0.04081632653061224,-0.010218979651299365
7,0.08163265306122448,-0.020527909499888773
