L,mag
3,0.879652811254895
4,0.849088294607003
5,0.825964092991323
6,0.807477523606671
7,0.792141321829982
8,0.779076490676587
9,0.767722362767909
10,0.75770039435646
11,0.748743497038334
12,0.740656483024655
13,0.733292558316477
14,0.726538657666837
15,0.720305920380521
16,0.714523291999361
17,0.709133100019594
18,0.704087917344508
19,0.699348289737671
20,0.694881057424147
