L,kg,E_m,E_p,broken_mag
7,0.11111111111111116,-9.05993344997781,-8.81654605245727,0.731932601113221
7,0.33333333333333326,-9.20795138651398,-8.92626363532987,0.711035352471871
7,0.5555555555555554,-9.36103265448902,-9.03824665933904,0.69069125440056
7,0.7777777777777777,-9.51885161263515,-9.15238277794519,0.671105717624394
7,1.0,-9.68107066145781,-9.26856251819095,0.652429370465359
8,-1.0,-9.66468863925025,-9.57693644359848,0.820465272092304
8,-0.7777777777777778,-9.78562844462457,-9.67846775053027,0.80094850425408
8,-0.5555555555555556,-9.91204955349373,-9.78272554001477,0.780459524995441
8,-0.33333333333333337,-10.0439106730131,-9.88961653160803,0.759270295802974
8,-0.11111111111111116,-10.1811091270232,-9.999044402539,0.737687108244941
8,0.0,-10.251661790966,-10.0546789842517,0.726846939907838
8,0.11111111111111116,-10.3234845029026,-10.1109107969925,0.716026363984173
8,0.33333333333333326,-10.4708264569461,-10.2251162875325,0.694590456329097
8,0.5555555555555554,-10.6228854262145,-10.3415612652639,0.673647729325008
8,0.7777777777777777,-10.7793846963876,-10.4601467420061,0.653419050170324
8,1.0,-10.9400323479396,-10.580775054135,0.634071690221437
9,-1.0,-10.927334109261,-10.8483438897146,0.810424560122425
9,-0.7777777777777778,-11.049756411284,-10.9537168015068,0.791329868797621
9,-0.5555555555555556,-11.177204245446,-11.0617004037474,0.771288277413174
9,-0.33333333333333337,-11.3096568310147,-11.1722171834894,0.750553000366667
9,-0.11111111111111116,-11.4470390986258,-11.2851859412158,0.72941341459743
9,0.0,-11.5175409662872,-11.3425636392354,0.718786855855669
9,0.11111111111111116,-11.5892236765592,-11.4005226451124,0.708172697843121
9,0.33333333333333326,-11.7360367068994,-11.5181412760921,0.687124674419422
9,0.5555555555555554,-11.8872665550557,-11.637954639212,0.666533767778174
9,0.7777777777777777,-12.0426741209307,-11.7598751218674,0.64662080885211
9,1.0,-12.2020034281513,-11.8838153842249,0.627555758482039
10,-1.0,-12.1918689762161,-12.1200618309005,0.799458200036956
10,-0.7777777777777778,-12.3155556341242,-12.2285487156003,0.780297197894276
10,-0.5555555555555556,-12.4438915310619,-12.339535737627,0.760158470464084
10,-0.33333333333333337,-12.5768696578711,-12.4529575648145,0.739285008349342
10,-0.11111111111111116,-12.7144344875175,-12.5687448833729,0.717959386238361
10,0.0,-12.7849064429993,-12.6275030293501,0.707220934701293
10,0.11111111111111116,-12.8564828703043,-12.6868251176713,0.696482387714005
10,0.33333333333333326,-13.0028684378148,-12.8071231651344,0.675149999540649
10,0.5555555555555554,-13.1534088071567,-12.9295621230326,0.654232703857534
10,0.7777777777777777,-13.3078944996304,-13.0540639870944,0.633960075955854
10,1.0,-13.4660983904549,-13.1805503057215,0.614512105427097
11,-1.0,-13.4578208759993,-13.3920063765987,0.791298859882209
11,-0.7777777777777778,-13.5825988801443,-13.5030733296097,0.772461021634273
11,-0.5555555555555556,-13.7117093043511,-13.6165369288568,0.752665398708323
11,-0.33333333333333337,-13.8451546473299,-13.7323414315193,0.732142913128891
11,-0.11111111111111116,-13.9828936418497,-13.8504270120882,0.711164718128711
11,0.0,-14.0533483666645,-13.9103055435469,0.70059558276599
11,0.11111111111111116,-14.12484141386,-13.970730369898,0.690022111087044
11,0.33333333333333326,-14.270872857004,-14.093185367049,0.66900434182205
11,0.5555555555555554,-14.4208286818805,-14.2177236754129,0.648378122787321
11,0.7777777777777777,-14.5745232179814,-14.3442754133481,0.628371916771208
11,1.0,-14.731752907499,-14.4727697555603,0.609166615685734
12,-1.0,-14.724863897767,-14.6641232559828,0.782461032290309
12,-0.7777777777777778,-14.850593993344,-14.7773661504087,0.763611836425459
12,-0.5555555555555556,-14.9803854931212,-14.8929096507484,0.743785314661307
12,-0.33333333333333337,-15.1142475956039,-15.0107056920833,0.723205067667264
12,-0.11111111111111116,-15.2521496962716,-15.1307021351002,0.702136946514303
12,0.0,-15.3225951510808,-15.1915082254503,0.691509882858365
12,0.11111111111111116,-15.3940210401625,-15.2528432811028,0.680869742389045
12,0.33333333333333326,-15.5397533288184,-15.3770704268875,0.659693254754331
12,0.5555555555555554,-15.6892058665451,-15.5033224402624,0.638877510430454
12,0.7777777777777777,-15.8422124552236,-15.631536338045,0.618656338314769
12,1.0,-15.9985890824432,-15.7616478503138,0.599217136976123
