L,g_max
3,0.8966305541992188
4,0.9594952392578125
5,0.9892222567647697
6,1.0043972778320316
7,1.012532393746078
8,1.0169903564453124
9,1.0194029140472411
10,1.020641897916794
11,1.0211741797812282
12,1.0212814352319397
13,1.0211255599559808
14,1.0208093315490985
15,1.020394357163313
16,1.0199255000425913
17,1.0194265890121461
18,1.01891704082489
19,1.0184073495864867
20,1.0178959417343139
